start,duration_min,window_switches,distractor_hits,total_process,idle_seconds
2025-06-27 11:23:38,1,1,12,312,0
2025-06-27 11:57:56,1,3,12,316,0
2025-06-27 12:01:02,1,4,12,313,0
2025-06-27 12:30:20,1,3,13,305,0
2025-06-27 16:29:05,1,1,13,297,0
2025-06-27 16:29:18,1,1,13,297,0
2025-06-27 16:29:30,1,1,13,297,0
2025-06-27 16:29:42,1,1,13,297,0
2025-06-27 16:29:54,1,1,13,297,0
2025-06-27 16:30:07,1,1,13,297,0
2025-06-27 16:29:19,1,1,13,297,0
2025-07-06 13:23:41,1,1,19,336,0
2025-07-06 13:24:03,1,2,19,336,0
2025-07-06 13:24:16,1,2,19,336,0
2025-07-06 13:24:28,1,3,20,336,0
2025-07-06 13:24:41,1,7,22,336,0
2025-07-06 13:24:54,1,7,22,336,0
2025-07-06 13:29:16,1,1,19,339,0
2025-07-06 13:29:28,1,1,19,339,0
2025-07-06 13:29:40,1,1,19,339,0
2025-07-06 13:29:52,1,1,19,339,0
2025-07-06 13:30:04,1,1,19,339,0
2025-07-06 13:30:17,1,1,19,339,0
2025-07-06 13:37:36,1,1,17,336,0
2025-07-06 13:37:48,1,1,17,336,0
2025-07-06 13:38:01,1,1,17,336,0
2025-07-06 13:38:13,1,1,17,336,0
2025-07-06 13:38:25,1,1,17,336,0
2025-07-06 13:38:38,1,1,17,336,0
2025-07-06 13:46:11,1,1,17,337,0
2025-07-06 13:46:23,1,1,17,337,0
2025-07-06 13:46:36,1,1,17,337,0
2025-07-06 13:46:48,1,1,17,337,0
2025-07-06 13:47:00,1,1,17,337,0
2025-07-06 13:47:12,1,1,17,337,0
2025-07-06 13:50:23,1,1,17,338,0
2025-07-06 13:50:35,1,3,17,338,0
2025-07-06 13:50:47,1,5,17,338,0
2025-07-06 13:55:57,5,1,17,337,0
2025-07-06 13:56:09,5,1,17,337,0
2025-07-06 13:56:21,5,1,17,337,0
2025-07-06 13:56:33,5,1,17,337,0
2025-07-06 13:56:45,5,1,17,337,0
2025-07-06 13:56:57,5,1,17,337,0
2025-07-06 13:57:10,5,1,17,337,0
2025-07-06 13:57:22,5,1,17,337,0
2025-07-06 13:57:34,5,1,17,337,0
2025-07-06 13:57:46,5,1,17,337,0
2025-07-06 13:57:58,5,1,17,337,0
2025-07-06 13:58:10,5,1,17,337,0
2025-07-06 13:58:22,5,1,17,337,0
2025-07-06 13:58:34,5,1,17,337,0
2025-07-06 13:58:46,5,1,17,337,0
2025-07-06 13:58:58,5,2,17,337,0
2025-07-06 13:59:10,5,2,17,337,0
2025-07-06 13:59:23,5,2,17,337,0
2025-07-06 13:59:35,5,2,17,337,0
2025-07-06 13:59:47,5,2,17,337,0
2025-07-06 13:59:59,5,2,17,337,0
2025-07-06 14:00:12,5,2,17,337,0
2025-07-06 14:00:24,5,2,17,337,0
2025-07-06 14:00:36,5,3,17,337,0
2025-07-06 14:00:48,5,3,17,337,0
2025-07-06 14:01:00,5,3,17,337,0
2025-07-06 14:01:12,5,3,17,337,0
2025-07-06 14:01:24,5,3,17,337,0
2025-07-06 14:01:36,5,3,17,337,0
2025-07-06 14:01:48,5,3,17,337,0
2025-07-06 15:25:41,1,0,17,344,0
2025-07-06 15:25:53,1,0,17,344,0
2025-07-06 15:26:05,1,2,18,344,0
2025-07-06 15:26:18,1,4,20,344,0
2025-07-06 15:26:30,1,4,20,344,0
2025-07-06 15:26:42,1,5,20,344,0
2025-07-06 15:49:12,1,1,16,334,0
2025-07-06 15:49:24,1,1,16,334,0
2025-07-06 15:49:36,1,2,16,334,0
2025-07-06 15:49:48,1,2,16,334,0
2025-07-06 15:50:00,1,2,16,334,0
2025-07-06 15:50:12,1,2,16,334,0
