start,duration_min,window_switches,distractor_hits,total_process,idle_seconds
2025-06-27 11:08:28,1,12,12,294,0
2025-06-27 11:23:38,1,1,12,312,0
2025-06-27 11:57:56,1,3,12,316,0
2025-06-27 12:01:02,1,4,12,313,0
2025-06-27 12:30:20,1,3,13,305,0
2025-06-27 16:29:19,1,1,13,297,0
2025-07-06 13:24:06,1,7,22,336,0
2025-07-06 13:24:06,1,7,22,336,0
2025-07-06 13:29:29,1,1,19,339,0
2025-07-06 13:29:29,1,1,19,339,0
2025-07-06 13:37:50,1,1,17,336,0
2025-07-06 13:37:50,1,1,17,336,0
2025-07-06 13:46:24,1,1,17,337,0
2025-07-06 13:46:24,1,1,17,337,0
2025-07-06 13:57:00,5,3,17,337,0
2025-07-06 13:57:00,5,3,17,337,0
2025-07-06 15:25:54,1,10,24,344,0
2025-07-06 15:25:54,1,10,24,344,0
2025-07-06 15:49:24,1,2,16,334,0
2025-07-06 15:49:24,1,2,16,334,0
